Opt, Size, Seq, Par, Libc
0, , 0.000000, 0.000239, 0.000001
1, , 0.000000, 0.000239, 0.000001
2, , 0.000000, 0.000239, 0.000001
3, , 0.000000, 0.000239, 0.000001
0, , 0.000001, 0.000662, 0.000003
1, , 0.000001, 0.000662, 0.000003
2, , 0.000001, 0.000662, 0.000003
3, , 0.000001, 0.000662, 0.000003
0, , 0.000000, 0.000269, 0.000002
1, , 0.000000, 0.000269, 0.000002
2, , 0.000000, 0.000269, 0.000002
3, , 0.000000, 0.000269, 0.000002
0, , 0.000000, 0.000205, 0.000001
1, , 0.000000, 0.000205, 0.000001
2, , 0.000000, 0.000205, 0.000001
3, , 0.000000, 0.000205, 0.000001
0, , 0.000000, 0.000252, 0.000002
1, , 0.000000, 0.000252, 0.000002
2, , 0.000000, 0.000252, 0.000002
3, , 0.000000, 0.000252, 0.000002
0, , 0.000001, 0.000195, 0.000001
1, , 0.000001, 0.000195, 0.000001
2, , 0.000001, 0.000195, 0.000001
3, , 0.000001, 0.000195, 0.000001
0, , 0.000001, 0.000159, 0.000001
1, , 0.000001, 0.000159, 0.000001
2, , 0.000001, 0.000159, 0.000001
3, , 0.000001, 0.000159, 0.000001
0, , 0.000000, 0.000492, 0.000002
1, , 0.000000, 0.000492, 0.000002
2, , 0.000000, 0.000492, 0.000002
3, , 0.000000, 0.000492, 0.000002
0, , 0.000001, 0.000100, 0.000001
1, , 0.000001, 0.000100, 0.000001
2, , 0.000001, 0.000100, 0.000001
3, , 0.000001, 0.000100, 0.000001
0, , 0.000000, 0.000135, 0.000001
1, , 0.000000, 0.000135, 0.000001
2, , 0.000000, 0.000135, 0.000001
3, , 0.000000, 0.000135, 0.000001
0, , 0.000000, 0.000169, 0.000002
1, , 0.000000, 0.000169, 0.000002
2, , 0.000000, 0.000169, 0.000002
3, , 0.000000, 0.000169, 0.000002
0, , 0.000000, 0.000143, 0.000001
1, , 0.000000, 0.000143, 0.000001
2, , 0.000000, 0.000143, 0.000001
3, , 0.000000, 0.000143, 0.000001
0, , 0.000001, 0.000209, 0.000001
1, , 0.000001, 0.000209, 0.000001
2, , 0.000001, 0.000209, 0.000001
3, , 0.000001, 0.000209, 0.000001
0, , 0.000000, 0.000288, 0.000002
1, , 0.000000, 0.000288, 0.000002
2, , 0.000000, 0.000288, 0.000002
